"","Naplan$ACARA.SML.ID","School Name","ratio","sport_index","teach_edu_index","tech_index","stu_atd","teach_tenure","State","Postcode","School Sector","School Type","Geolocation","ICSEA","Bottom SEA Quarter (%)","Lower Middle SEA Quarter (%)","Upper Middle SEA Quarter (%)","Indigenous Enrolments (%)","Language Background Other Than English - Yes (%)","Naplan$NAPLAN","Median_age_persons","Median_mortgage_repay_monthly","Median_tot_prsnl_inc_weekly","Median_rent_weekly","Median_tot_fam_inc_weekly","Average_num_psns_per_bedroom","Median_tot_hhd_inc_weekly","Average_household_size"
"2606",45718,"St Kilda Park Primary School",12.88,83,74,74,91,14.08,"VIC","3182","Government","Primary","Major Cities",1144,3,10,27,1,34,517.36524856166,37,1166,600,270,1357,0.8,1144,2.5
"2607",45126,"Labertouche Primary School",8.57142857142857,57,82,69,86,13.91,"VIC","3816","Government","Primary","Inner Regional",999,28,46,20,3,7,514.818420772547,43,1300,770,236,1967,0.8,1628,2.7
"2608",44988,"Diggers Rest Primary School",15,49,73,70,88,14.45,"VIC","3427","Government","Primary","Major Cities",1027,26,31,27,3,41,540.521265580298,38,1369,784,270,1955,0.8,1560,2.5
"2609",45127,"Longwarry Primary School",11.5384615384615,52,78,63,88,13.71,"VIC","3816","Government","Primary","Inner Regional",960,54,33,11,4,3,513.993238538818,38,1625,845,380,2200,0.8,2001,2.9
"2610",46119,"Gembrook Primary School",12.9473684210526,51,74,67,87,20.3,"VIC","3783","Government","Primary","Major Cities",1022,26,35,28,3,5,535.416457129239,37,1166,600,270,1357,0.8,1144,2.5
"2611",44741,"Wurruk Primary School",9,49,70,70,86,19.21,"VIC","3850","Government","Primary","Inner Regional",846,76,21,1,33,4,548.262587503219,37,1166,600,270,1357,0.8,1144,2.5
"2612",44767,"Willow Grove Primary School",11.1428571428571,57,72,66,88,23.76,"VIC","3825","Government","Primary","Inner Regional",1010,23,41,29,6,8,544.195118179333,38,1369,784,270,1955,0.8,1560,2.5
"2613",45866,"Hoddles Creek Primary School",1,40,73,75,86,12.15,"VIC","3139","Government","Primary","Inner Regional",901,49,31,6,25,29,561.511099233329,38,1369,784,270,1955,0.8,1560,2.5
"2614",44181,"Beaconsfield Upper Primary School",11.125,62,83,68,87,25.51,"VIC","3808","Government","Primary","Major Cities",1047,18,33,31,0,4,526.301587125431,37,1166,600,270,1357,0.8,1144,2.5
"2615",44637,"Congupna Primary School",7.36363636363636,62,70,51,88,13.56,"VIC","3633","Government","Primary","Inner Regional",1024,27,33,21,4,3,521.18750387688,37,1166,600,270,1357,0.8,1144,2.5
"2616",45806,"Redesdale Mia Mia Primary School",4.66666666666667,60,78,73,89,12.6,"VIC","3444","Government","Primary","Inner Regional",939,57,21,9,14,0,529.174615029356,38,1369,784,270,1955,0.8,1560,2.5
"2617",44766,"Malvern Primary School",13.95,86,69,78,91,21.88,"VIC","3145","Government","Primary","Major Cities",1164,1,6,22,0,31,533.082265631172,43,1148,634,250,1455,0.8,1121,2.2
"2618",44793,"Launching Place Primary School",10.1333333333333,41,75,52,85,11.24,"VIC","3139","Government","Primary","Inner Regional",960,52,32,14,7,2,527.101966031423,37,1166,600,270,1357,0.8,1144,2.5
"2619",44816,"Carlton Gardens Primary School",12.5675675675676,55,75,58,90,13.57,"VIC","3053","Government","Primary","Major Cities",1138,4,9,28,2,77,545.493512794441,43,1300,770,236,1967,0.8,1628,2.7
"2620",45142,"Ascot Vale Primary School",12.9047619047619,71,71,69,93,13.11,"VIC","3032","Government","Primary","Major Cities",1140,8,10,21,1,38,530.381886643735,43,1300,770,236,1967,0.8,1628,2.7
"2621",45869,"Boolarra Primary School",8,63,68,53,86,14.93,"VIC","3870","Government","Primary","Inner Regional",981,46,28,17,10,5,531.287074181459,43,1300,770,236,1967,0.8,1628,2.7
"2622",45939,"Rosebud Primary School",12.1,53,73,55,89,13.72,"VIC","3939","Government","Primary","Major Cities",1011,32,35,22,3,4,544.734653665908,43,1300,770,236,1967,0.8,1628,2.7
"2623",44164,"Koo Wee Rup Primary School",14.3333333333333,66,68,61,86,13.44,"VIC","3981","Government","Primary","Inner Regional",976,46,37,15,1,3,557.937953805472,43,1300,770,236,1967,0.8,1628,2.7
"2624",44698,"Armadale Primary School",12.2,76,73,76,92,18.09,"VIC","3143","Government","Primary","Major Cities",1163,2,6,23,0,32,545.470976158202,45,1300,701,240,1780,0.8,1379,2.4
"2625",45811,"Osborne Primary School",12.9787234042553,63,74,78,88,13.28,"VIC","3934","Government","Primary","Major Cities",1067,12,28,34,1,4,528.297952299372,45,1300,701,240,1780,0.8,1379,2.4
"2626",44218,"Somerville Primary School",12.5,54,72,72,88,13.05,"VIC","3912","Government","Primary","Major Cities",1009,31,35,24,3,6,556.350856204151,45,1300,701,240,1780,0.8,1379,2.4
"2627",44717,"Willaura Primary School",3.5,52,68,51,86,21.06,"VIC","3379","Government","Primary","Outer Regional",951,44,34,22,0,0,542.567852020618,45,1300,701,240,1780,0.8,1379,2.4
"2628",45837,"Echuca East Primary School",9.44827586206897,42,80,70,84,15.53,"VIC","3564","Government","Primary","Inner Regional",928,49,30,15,26,8,512.992615728545,45,1300,701,240,1780,0.8,1379,2.4
"2629",44532,"Lakes Entrance Primary School",12.8421052631579,56,74,64,84,15.14,"VIC","3909","Government","Primary","Outer Regional",933,50,31,15,16,7,536.511628152058,53,1600,703,330,1784,0.8,1343,2.1
"2630",44721,"Myrrhee Primary School",8.25,56,67,76,90,24.22,"VIC","3732","Government","Primary","Outer Regional",1039,24,22,25,9,3,524.039156943009,53,1600,703,330,1784,0.8,1343,2.1
